System ID,Firstnames,Lastname,Known As,Title,Post Nominals,Person Corporate Type,Record Type,Role,Gender
6041,W,Bryden,W,,,,Person,"Production Person (pri & sec), Production Person (primary)",
6182,Saskia,Willaert,,,,Individual,Person,,
2256,,Müller,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
7444,Santo,Serafin,Santo,,,,Person,,
7662,Gottfried August,Gründler,,,,Individual,Person,"Production Person (pri & sec) : Engraver, Production Person (primary) : Engraver",
2382,,Constantin,,,,Business,Corporate,"Production Person (pri & sec), Production Person (primary)",
3763,Joseph,Stiglitz,,,,Individual,Person,,
7688,Tobias,Venner,,,,Individual,Person,Subject Person : Sitter,
482,Francis,Thwaites,,,,Individual,,"Production Person (pri & sec), Production Person (primary)",
3094,Robert,Gilkison,Robert,Mr,,Individual,Person,Acquisition Source : donor,Male
3104,Phyllis Barbara,Skinner,Phyllis,,,Individual,Person,Acquisition Source : donor,
2994,Kurt,Jackson,Kurt,,,,Person,"Depositor, Production Person (pri & sec) : Artist, Production Person (primary) : Artist",Male
